"","team","W_L","AdjEM","AdjO","AdjD","AdjT","luck"
"1","Duke","31-6","+31.51","115.9","84.4","71.4","-.028"
"2","Connecticut","33-6","+27.62","112.9","85.3","71.6","+.011"
"3","Saint Joseph's","30-2","+27.04","114.2","87.2","69.4","+.061"
"4","Oklahoma St.","31-4","+26.74","113.8","87.0","68.2","+.030"
"5","Pittsburgh","31-5","+25.27","109.5","84.3","62.9","-.028"
"6","Wisconsin","25-7","+25.10","111.5","86.4","63.7","+.000"
"7","Gonzaga","28-3","+24.75","116.2","91.4","70.3","+.013"
"8","Georgia Tech","28-10","+24.06","109.1","85.1","72.9","+.008"
"9","North Carolina St.","21-10","+23.33","114.5","91.2","66.4","-.071"
"10","Kentucky","27-5","+22.83","109.2","86.3","69.5","+.032"
"11","North Carolina","19-11","+22.69","112.6","89.9","74.3","-.091"
"12","Stanford","30-2","+22.02","107.6","85.5","68.4","+.051"
"13","Illinois","26-7","+21.66","113.8","92.1","66.4","+.055"
"14","Wake Forest","21-10","+21.18","117.9","96.7","73.4","-.018"
"15","Mississippi St.","26-4","+21.17","109.9","88.8","71.5","+.021"
"16","Texas","25-8","+21.11","110.8","89.7","68.5","+.037"
"17","Cincinnati","25-7","+21.11","111.8","90.7","69.8","+.003"
"18","Kansas","24-9","+20.45","108.6","88.1","72.3","+.018"
"19","Louisville","20-10","+19.97","102.7","82.7","70.9","-.078"
"20","Nevada","25-9","+19.79","108.0","88.2","72.0","-.038"
"21","Xavier","26-11","+19.76","109.5","89.7","67.6","-.022"
"22","Maryland","20-12","+19.27","106.4","87.1","74.7","-.008"
"23","Vanderbilt","23-10","+18.13","108.9","90.7","68.5","-.002"
"24","Providence","20-9","+17.95","107.7","89.8","68.2","+.002"
"25","Florida","20-11","+17.80","111.8","94.0","69.7","-.023"
"26","Seton Hall","21-10","+16.99","107.6","90.6","69.1","-.004"
"27","Florida St.","19-14","+16.96","104.3","87.3","68.1","-.089"
"28","Texas Tech","23-11","+16.65","106.6","89.9","70.4","+.010"
"29","Alabama","20-13","+16.02","110.4","94.4","67.7","+.005"
"30","Syracuse","23-8","+15.96","108.1","92.2","69.5","+.087"
"31","Memphis","22-8","+15.83","107.5","91.7","69.6","+.011"
"32","Arizona","20-10","+15.81","113.9","98.1","76.8","-.072"
"33","Western Michigan","26-5","+15.81","109.1","93.3","70.3","+.039"
"34","BYU","21-9","+15.37","108.8","93.4","68.2","+.020"
"35","Michigan St.","18-12","+15.29","113.0","97.7","66.7","-.015"
"36","Air Force","22-7","+15.24","107.8","92.6","55.6","+.024"
"37","Boston College","24-10","+15.00","106.1","91.1","65.9","+.046"
"38","Richmond","20-13","+14.83","102.0","87.2","65.7","-.060"
"39","South Carolina","23-11","+14.70","105.4","90.7","68.3","-.000"
"40","Nebraska","18-13","+14.48","109.1","94.6","65.7","-.094"
"41","UTEP","24-8","+14.33","108.0","93.7","71.5","+.046"
"42","Southern Illinois","25-5","+13.98","104.6","90.6","69.1","+.046"
"43","Utah","24-9","+13.96","105.8","91.8","62.3","+.063"
"44","Charlotte","21-9","+13.95","108.5","94.5","73.1","+.015"
"45","Michigan","23-11","+13.69","102.5","88.8","69.6","+.019"
"46","Utah St.","25-4","+13.35","111.1","97.7","61.6","+.037"
"47","UAB","22-10","+13.30","103.4","90.1","74.5","+.019"
"48","Manhattan","25-6","+13.10","104.1","91.0","69.4","+.012"
"49","George Washington","18-12","+12.94","108.0","95.0","71.6","-.032"
"50","Missouri","16-14","+12.79","109.0","96.2","69.5","-.020"
"51","Boise St.","23-10","+12.76","105.2","92.5","70.1","+.028"
"52","Notre Dame","19-13","+12.73","109.4","96.7","67.4","-.024"
"53","Villanova","18-17","+12.02","105.3","93.3","69.3","-.049"
"54","Colorado","18-11","+11.51","107.6","96.1","71.1","+.035"
"55","Oklahoma","20-11","+11.35","100.1","88.7","66.7","+.059"
"56","Purdue","17-14","+11.33","100.1","88.7","66.1","-.065"
"57","Wichita St.","21-11","+11.33","104.9","93.6","69.6","-.075"
"58","DePaul","22-10","+11.06","109.2","98.1","66.0","+.092"
"59","Saint Mary's","19-12","+10.71","106.0","95.3","70.8","-.083"
"60","Washington","19-12","+10.53","108.9","98.3","76.8","+.032"
"61","Murray St.","28-6","+10.47","106.8","96.3","71.6","+.064"
"62","Milwaukee","20-11","+10.26","108.0","97.7","72.8","-.024"
"63","Illinois Chicago","24-8","+10.20","102.7","92.5","68.1","+.037"
"64","Creighton","20-9","+10.19","103.2","93.0","66.9","+.005"
"65","Iowa St.","20-13","+10.10","105.0","94.9","72.9","+.066"
"66","Louisiana Lafayette","20-9","+10.08","105.5","95.4","72.0","+.006"
"67","Auburn","14-14","+10.01","101.8","91.8","69.6","-.097"
"68","Virginia","18-13","+10.00","105.2","95.2","72.5","+.099"
"69","Iowa","16-13","+9.91","103.1","93.2","71.4","-.015"
"70","LSU","18-11","+9.78","102.8","93.1","66.8","+.054"
"71","Dayton","24-9","+9.67","104.4","94.7","65.4","+.085"
"72","Penn","17-10","+9.63","104.5","94.8","66.9","-.071"
"73","Rutgers","20-13","+9.61","101.6","92.0","69.2","+.046"
"74","Kent St.","22-9","+9.51","102.5","93.0","68.6","+.010"
"75","Rice","22-11","+9.48","104.6","95.1","71.7","+.070"
"76","Georgia","16-14","+9.27","102.5","93.2","66.5","+.029"
"77","UNLV","18-13","+9.12","105.9","96.8","72.0","-.007"
"78","Hawaii","21-12","+9.02","105.5","96.5","68.2","+.024"
"79","Detroit","19-11","+8.97","102.2","93.2","63.1","-.009"
"80","Oregon","18-13","+8.97","106.4","97.4","71.0","+.027"
"81","VCU","23-8","+8.85","100.8","92.0","68.6","+.076"
"82","Pacific","25-8","+8.76","103.8","95.1","67.1","+.097"
"83","Kansas St.","14-14","+8.69","100.0","91.4","68.8","-.079"
"84","Northern Iowa","21-10","+8.52","102.9","94.4","68.1","+.023"
"85","Rhode Island","20-14","+8.35","101.0","92.7","68.1","+.004"
"86","East Tennessee St.","27-6","+8.32","100.1","91.8","76.3","+.017"
"87","Saint Louis","19-13","+8.01","99.0","91.0","64.8","+.030"
"88","Troy St.","24-7","+7.64","108.9","101.3","71.7","+.018"
"89","Temple","15-14","+7.14","104.7","97.6","64.1","+.010"
"90","Tennessee","15-14","+7.11","104.5","97.4","69.2","+.019"
"91","Fresno St.","14-15","+6.85","102.5","95.7","62.0","-.065"
"92","Marquette","19-12","+6.82","107.5","100.7","67.9","+.020"
"93","West Virginia","17-14","+6.68","102.4","95.7","66.1","+.064"
"94","Indiana","14-15","+6.67","101.0","94.3","66.9","+.051"
"95","Southwest Missouri St.","19-14","+6.40","100.5","94.1","66.9","-.026"
"96","George Mason","23-10","+6.09","98.5","92.4","71.2","+.094"
"97","Arkansas","12-16","+5.87","100.4","94.5","69.6","-.068"
"98","UCF","25-6","+5.72","98.6","92.8","66.5","+.089"
"99","Drexel","18-11","+5.61","102.4","96.7","70.8","-.016"
"100","Old Dominion","17-12","+5.45","100.6","95.2","72.4","-.018"
"101","Northwestern","14-15","+5.41","101.5","96.1","63.3","+.022"
