"","team","AdjEM","AdjO","AdjD","AdjT","luck"
"131","Rutgers",2.36,101.2,98.9,66.9,-0.007
"132","Toledo",2.32,109,106.6,67.3,-0.06
"133","William & Mary",2.3,111.8,109.5,71.6,-0.007
"134","Rice",2.25,108.1,105.9,72.6,-0.018
"135","Missouri St.",2.24,108.2,106,66.7,-0.059
"136","Eastern Michigan",2.08,106.2,104.2,68.7,-0.097
"137","South Dakota",2.07,104.6,102.5,71.4,0.084
"138","Santa Clara",2.03,104.3,102.3,63,-0.017
"139","Northeastern",1.96,107.9,105.9,66.6,-0.032
"140","Louisiana Lafayette",1.95,111,109.1,72.8,0.022
"141","Wyoming",1.94,103.9,102,74.4,0.007
"142","La Salle",1.93,111,109,69,0.034
"143","Mercer",1.78,109.8,108,62.2,-0.055
"144","Yale",1.63,105.9,104.3,68.9,0.034
"145","Fort Wayne",1.63,109.3,107.7,72.2,-0.022
"146","Southern Illinois",1.45,104.9,103.4,66,0.05
"147","Utah St.",1.4,106,104.6,67,-0.061
"148","North Dakota St.",1.25,105,103.7,67.5,0.083
"149","Wofford",1.19,109.8,108.6,67.1,-0.063
"150","Northern Kentucky",1.02,106.8,105.7,68.4,0.068
"151","UC Irvine",0.98,101.1,100.2,67.4,-0.005
"152","Western Michigan",0.85,108.4,107.5,68.5,-0.016
"153","Massachusetts",0.8,101.1,100.3,73.2,-0.042
"154","LSU",0.78,110.3,109.5,72.6,0.011
"155","Evansville",0.75,104.1,103.3,67.3,-0.024
"156","Georgia Southern",0.73,106.6,105.8,69.4,0.047
"157","Kent St.",0.71,103.5,102.8,69.3,-0.017
"158","New Hampshire",0.65,103,102.4,66.1,0.044
"159","Boston College",0.62,104.3,103.7,71.8,-0.032
"160","Samford",0.59,108.5,107.9,69.3,-0.048
"161","Troy",0.4,109.6,109.2,69.2,-0.055
"162","Marshall",0.38,110,109.6,78.6,0.001
"163","Lipscomb",0.33,107.3,106.9,74.7,-0.017
"164","Wright St.",0.3,106.3,106,69.4,0.07
"165","Tennessee St.",0.29,100.1,99.9,67.5,-0.016
"166","Loyola Marymount",0.02,102.8,102.8,68,0.036
"167","Penn",0.01,102.5,102.5,67.1,-0.062
"168","Missouri",-0.05,99.7,99.7,69,-0.179
"169","Jacksonville St.",-0.08,105.3,105.3,64.4,0.026
"170","Northern Iowa",-0.16,97.4,97.6,63.9,0.054
"171","Washington",-0.2,107.8,108,71.9,-0.095
"172","Eastern Washington",-0.39,109.7,110.1,67,0.115
"173","Gardner Webb",-0.56,102.8,103.3,71.3,-0.041
"174","DePaul",-0.64,103.6,104.2,68.2,-0.065
"175","North Carolina Central",-0.66,102.5,103.2,66.8,-0.048
"176","Ball St.",-0.72,105.7,106.4,71.3,0.056
"177","Green Bay",-0.73,102.6,103.3,74.5,0.051
"178","UAB",-0.77,105.4,106.2,66.9,-0.012
"179","Grand Canyon",-0.78,101.1,101.8,69.4,0.071
"180","Saint Joseph's",-0.82,102.8,103.6,69.1,-0.042
"181","Siena",-0.91,105,105.9,69.5,-0.011
"182","Denver",-1.1,107.9,109,67,0
"183","Hofstra",-1.25,111.1,112.4,68.1,-0.035
"184","New Orleans",-1.39,100.3,101.7,67.2,0.04
"185","North Dakota",-1.43,103,104.4,71.6,0.023
"186","Weber St.",-1.51,107.8,109.3,67,-0.035
"187","Canisius",-1.59,108.4,109.9,70.2,0.016
"188","Boston University",-1.71,101.8,103.5,70.1,0.018
"189","Nebraska Omaha",-1.99,108.5,110.5,74.4,0.107
"190","UMBC",-2.03,108.3,110.3,71,0.009
"191","Fordham",-2.16,97.5,99.7,64.8,-0.013
"192","South Dakota St.",-2.17,110.9,113,67.6,-0.008
"193","Utah Valley",-2.32,101.3,103.6,74.7,-0.085
"194","Texas St.",-2.41,101.3,103.7,62.4,0.027
"195","Coastal Carolina",-2.46,103.5,106,68.2,0.033
"196","East Carolina",-2.63,95.8,98.4,66.9,0.018
"197","Washington St.",-2.65,104.5,107.2,68.3,0.085
"198","Montana",-2.66,104.9,107.6,67.1,-0.038
"199","Murray St.",-2.74,107.1,109.8,69.2,-0.087
"200","Indiana St.",-2.84,99.4,102.3,70.2,-0.009
"201","IUPUI",-2.91,107.8,110.7,69.7,-0.038
"202","Texas Southern",-3.09,105.7,108.8,68.9,0.097
"203","San Jose St.",-3.16,100.8,104,71.5,0.079
"204","Fairfield",-3.19,99.7,102.9,69.4,0.06
"205","Morehead St.",-3.2,106.7,109.9,69.1,-0.005
"206","Tennessee Martin",-3.27,107.4,110.7,68.1,0.13
"207","UTEP",-3.33,99.8,103.1,66.2,-0.067
"208","Rider",-3.35,101.2,104.5,72.6,0.045
"209","Stony Brook",-3.41,102.8,106.2,66.3,0.078
"210","Houston Baptist",-3.75,105,108.8,71.1,0.063
"211","Northern Illinois",-3.77,98.4,102.2,67.3,-0.027
"212","Liberty",-3.88,99.5,103.3,63.3,0.03
"213","Navy",-3.95,99.7,103.6,64.7,0
"214","Texas A&M Corpus Chris",-3.99,102.5,106.5,68.9,0.093
"215","Mount St. Mary's",-4.34,99,103.3,67.3,0.049
"216","Bradley",-4.45,98.4,102.8,68.1,0.018
"217","Duquesne",-4.45,102.4,106.9,70.6,-0.054
"218","Holy Cross",-4.49,98.6,103,60.9,0.022
"219","UC Davis",-4.69,99.5,104.2,69.5,0.07
"220","Air Force",-4.74,104.3,109.1,67.4,-0.086
"221","UMKC",-4.85,102.8,107.7,71.2,0.041
"222","Eastern Illinois",-5.13,99.9,105.1,69.1,-0.049
"223","James Madison",-5.23,98.6,103.9,64.5,-0.06
"224","Southeastern Louisiana",-5.36,98.3,103.7,67.4,-0.05
"225","Lamar",-5.45,102.8,108.2,68.2,-0.026
"226","Idaho",-5.86,100.7,106.6,66.9,0.048
"227","Sam Houston St.",-5.86,97.9,103.7,71.4,0.105
"228","USC Upstate",-5.93,105.3,111.2,68.6,0.013
"229","Montana St.",-5.93,103.9,109.8,69.9,-0.008
"230","Central Michigan",-6.01,110.7,116.7,75.8,0.063
"231","Southeast Missouri St.",-6.09,103.2,109.3,69.1,-0.038
"232","Stephen F. Austin",-6.24,96.3,102.5,67,0.038
"233","Army",-6.24,98.5,104.7,71.9,-0.063
"234","Portland St.",-6.32,105,111.3,73.2,-0.066
"235","Oral Roberts",-6.33,104.2,110.5,69.6,-0.077
"236","Charlotte",-6.38,103.5,109.9,73.4,0.06
"237","Western Kentucky",-6.43,103.3,109.8,66.6,0.051
"238","Columbia",-6.43,100.9,107.4,69.5,-0.01
"239","South Alabama",-6.44,98.1,104.6,70.6,0
"240","Long Beach St.",-6.48,104,110.4,70.4,0.033
"241","Pacific",-6.67,99.7,106.4,67.1,-0.007
"242","Cleveland St.",-6.79,96.3,103.1,65.9,-0.09
"243","Little Rock",-6.81,98.5,105.3,64.1,0.044
"244","Wagner",-6.87,101.1,108,63.5,-0.024
"245","Bowling Green",-6.99,100.3,107.3,70.4,0.012
"246","Drexel",-7.12,103,110.1,70.9,-0.089
"247","Tulane",-7.17,103,110.2,71.3,-0.076
"248","Loyola MD",-7.18,98.6,105.8,66.1,0.079
"249","Illinois Chicago",-7.22,100.6,107.9,72.3,-0.002
"250","Kennesaw St.",-7.29,102.6,109.9,70,0
"251","North Florida",-7.33,101.9,109.2,70.6,0.027
"252","UNLV",-7.42,99.3,106.7,68.8,0.005
"253","LIU Brooklyn",-7.42,100.2,107.6,67.6,0.081
"254","St. Francis PA",-7.49,102.6,110.1,70.5,0
"255","Louisiana Monroe",-8.09,97.8,105.9,65.7,-0.133
"256","Niagara",-8.12,101.4,109.5,69.6,-0.067
"257","Tennessee Tech",-8.15,98.8,107,68.8,-0.058
"258","Drake",-8.34,102.8,111.2,70,-0.083
"259","San Diego",-8.35,100.1,108.4,63.9,0.058
"260","Robert Morris",-8.63,91.5,100.1,69.2,0.038
"261","Appalachian St.",-8.68,99.6,108.3,71.2,-0.061
"262","Florida Atlantic",-8.69,99.1,107.8,69.3,-0.043
"263","Hawaii",-8.7,96.8,105.5,67.6,0.002
"264","Brown",-8.74,104.4,113.1,71.8,0.022
"265","Fairleigh Dickinson",-8.86,103,111.8,69.6,-0.051
"266","Colgate",-9.05,98.5,107.6,65.6,-0.013
"267","High Point",-9.07,99,108.1,66.2,-0.004
"268","UTSA",-9.27,93.5,102.7,68.7,0.012
"269","Jacksonville",-9.28,102.6,111.9,68.2,0.017
"270","Oregon St.",-9.45,96.5,106,64.7,-0.067
"271","Cal St. Northridge",-9.45,104.5,114,73.1,-0.021
"272","Seattle",-9.55,96.3,105.9,68.8,-0.007
"273","Eastern Kentucky",-9.56,98.3,107.9,68.1,0.015
"274","Milwaukee",-9.58,100.5,110,63.7,-0.044
"275","Cornell",-9.66,98.9,108.6,70.2,-0.029
"276","Portland",-9.91,98.6,108.5,66.3,0.009
"277","Saint Louis",-9.92,95,104.9,64.2,0.082
"278","Bryant",-10.06,101.8,111.9,69.7,-0.014
"279","Cal St. Fullerton",-10.17,96.1,106.3,69.3,0.042
"280","NJIT",-10.31,98.8,109.1,68.2,0.029
"281","Northern Colorado",-10.58,96.3,106.9,69.4,-0.045
"282","Miami OH",-10.62,95.9,106.6,69.2,0.061
"283","Manhattan",-10.75,97,107.7,69.4,0
"284","The Citadel",-10.75,105.6,116.4,80.4,0.023
"285","Alcorn St.",-10.82,97.3,108.1,68.8,0.069
"286","FIU",-11.02,102.6,113.6,65.7,-0.176
"287","Youngstown St.",-11.1,101.9,113,72.3,0.066
"288","Delaware",-11.16,97.3,108.5,65.4,0.089
"289","Austin Peay",-11.17,106,117.1,70.5,0.04
"290","Campbell",-11.18,99.6,110.8,66.1,0.037
"291","South Florida",-11.19,97.1,108.3,68.8,-0.013
"292","UMass Lowell",-11.29,104.2,115.5,72.3,-0.036
"293","Sacramento St.",-11.45,100,111.5,65.9,0.063
"294","Radford",-11.61,96.2,107.8,64.5,0.06
"295","Quinnipiac",-11.67,101.4,113.1,73.7,0.027
"296","Northwestern St.",-11.79,100.7,112.5,71.8,0.027
"297","Cal Poly",-11.87,102,113.9,65.7,0.019
"298","Abilene Christian",-11.9,96.3,108.2,66.5,0.054
"299","Norfolk St.",-11.99,93.4,105.4,69.4,0.077
"300","Pepperdine",-12.09,102.1,114.2,69.1,0.026
"301","Western Illinois",-12.09,97.1,109.2,69.4,-0.029
"302","Sacred Heart",-12.1,97.6,109.7,71.6,0.018
"303","Dartmouth",-12.12,99.7,111.8,67.9,0.053
"304","Incarnate Word",-12.21,102,114.2,72.3,0.03
"305","Detroit",-12.34,102,114.3,73.1,0.016
"306","Central Arkansas",-12.9,104.1,117,71.7,-0.006
"307","Hampton",-12.99,94.2,107.2,68.6,0.037
"308","UT Rio Grande Valley",-13.03,100.6,113.7,74.2,-0.031
"309","American",-13.12,94.9,108,64.9,-0.017
"310","Charleston Southern",-13.35,103.3,116.7,68.8,0.007
"311","Nicholls St.",-13.37,100.9,114.3,70,0.099
"312","Prairie View A&M",-13.38,96.8,110.2,68.7,-0.02
"313","Binghamton",-13.58,96.1,109.7,66.5,-0.009
"314","McNeese St.",-13.85,95.5,109.3,70.2,-0.051
"315","Savannah St.",-13.86,100.8,114.7,81.6,0.054
"316","Marist",-13.89,100.7,114.6,67.4,0.013
"317","Maryland Eastern Shore",-13.99,98.8,112.8,69,0.01
"318","UC Riverside",-14.24,91.1,105.4,68.2,-0.052
"319","SIU Edwardsville",-14.28,94.9,109.2,69.8,-0.041
"320","Stetson",-14.36,100.9,115.3,73,-0.002
"321","Southern",-14.53,99,113.6,68.4,0.025
"322","Western Carolina",-14.73,90.2,104.9,67.4,0.027
"323","Morgan St.",-14.81,90.8,105.6,68.5,0.053
"324","North Texas",-15.03,95.3,110.3,70.5,-0.069
"325","Southern Miss",-15.28,92.6,107.9,65.8,-0.029
"326","VMI",-15.96,97.8,113.7,69.6,-0.034
"327","Jackson St.",-16.01,93.1,109.1,64.8,0.032
"328","Northern Arizona",-16.54,95.1,111.7,69.8,-0.013
"329","Idaho St.",-17,97.2,114.2,69.2,-0.058
"330","Lafayette",-17.16,96.2,113.3,69.9,0.059
"331","Grambling St.",-17.53,96.1,113.6,67.4,0.054
"332","Hartford",-18.08,92.6,110.7,69,0.073
"333","Southern Utah",-18.67,100.7,119.4,72.2,-0.032
"334","Maine",-19.26,91.1,110.4,68.5,0.005
"335","Delaware St.",-19.36,95,114.4,66.2,0.014
"336","South Carolina St.",-19.38,97.9,117.3,69.4,0.065
"337","Howard",-19.76,90.2,110,68.4,-0.053
"338","Bethune Cookman",-19.85,95.4,115.2,68.7,-0.025
"339","UC Santa Barbara",-19.86,91.3,111.2,64.5,0.016
"340","Chicago St.",-19.91,91.1,111.1,67.4,0
"341","Central Connecticut",-20.84,93,113.8,65.5,-0.023
"342","Coppin St.",-21.47,94,115.4,68.8,0.012
"343","Alabama St.",-21.91,90.2,112.1,69.1,0
"344","Florida A&M",-22.13,93.7,115.8,70.1,-0.078
"345","Mississippi Valley St.",-23.43,95.4,118.9,71.6,0.03
"346","St. Francis NY",-24.08,87.9,112,67.7,-0.037
"347","Arkansas Pine Bluff",-24.94,85,110,68,-0.006
"348","Longwood",-25.02,92.2,117.2,71.1,0.017
"349","North Carolina A&T",-27.58,95.2,122.8,63.5,-0.084
"350","Presbyterian",-29.17,88.9,118.1,64.8,0.018
"351","Alabama A&M",-29.76,91.8,121.5,64.7,-0.079
