"","team","AdjEM","AdjO","AdjD","AdjT","luck"
"1","North Carolina",30.78,117,86.2,74.5,-0.046
"2","Florida",30.18,118.5,88.4,68.3,0.029
"3","Ohio St.",28.64,116.3,87.7,67.4,0.056
"4","Georgetown",27.75,116.9,89.2,62.3,0.008
"5","Kansas",27.18,110.7,83.5,71.1,0.032
"6","UCLA",26.52,111,84.4,66.1,0.019
"7","Texas A&M",26.33,114.5,88.1,65.8,-0.046
"8","Wisconsin",24.88,110.7,85.9,65.9,0.034
"9","Memphis",24.17,110.8,86.6,71.2,0.031
"10","Duke",22.76,108.2,85.5,67.6,-0.073
"11","Pittsburgh",22.39,112.8,90.4,65.3,0.033
"12","Maryland",21.98,108.2,86.3,73.8,-0.027
"13","Kentucky",21.29,112.1,90.8,68.8,-0.029
"14","Indiana",21.16,111.1,89.9,66.7,-0.058
"15","Butler",20.93,113.1,92.2,61,0.015
"16","Southern Illinois",20.64,105.5,84.9,63.3,0.017
"17","Michigan St.",20.53,107.8,87.3,63.3,-0.036
"18","Oregon",20.32,114,93.7,67.8,0.032
"19","Air Force",20,112.7,92.7,60.1,-0.021
"20","Louisville",19.89,109.4,89.5,67,-0.045
"21","Villanova",19.72,108.3,88.6,68.9,-0.036
"22","Notre Dame",19.62,113.9,94.3,72.6,-0.018
"23","Georgia Tech",19.19,112.7,93.5,70.2,-0.066
"24","Arizona",18.97,115.2,96.2,70.6,-0.008
"25","Texas",18.85,114.6,95.8,70.4,-0.008
"26","Mississippi St.",18.71,108.7,90,72.3,-0.114
"27","Washington St.",18.45,106.9,88.5,62.8,0.004
"28","Creighton",18.2,110,91.8,64.7,-0.023
"29","Clemson",18.07,107.8,89.7,69.2,-0.009
"30","Tennessee",17.99,112.2,94.2,73.5,0.034
"31","Purdue",17.96,106.2,88.3,68.7,0.002
"32","Xavier",17.85,112.8,95,68.3,-0.047
"33","West Virginia",17.68,112.3,94.6,65.7,0.022
"34","Florida St.",17.44,111.8,94.4,68.7,-0.007
"35","Illinois",17.18,102.5,85.4,64.7,-0.016
"36","Missouri St.",17.17,108.6,91.4,69.7,-0.029
"37","Virginia Tech",17.02,108.2,91.1,66.5,-0.004
"38","Marquette",16.76,107.2,90.4,69.7,0.009
"39","UNLV",16.49,108,91.5,68.1,0.098
"40","USC",16.45,107,90.5,69.1,0.017
"41","Syracuse",16.36,106.8,90.5,73.9,-0.065
"42","Arkansas",16.3,105.8,89.5,69.2,-0.022
"43","Akron",15.88,110.8,94.9,66.6,-0.054
"44","Vanderbilt",15.86,110.5,94.7,69.3,0.008
"45","BYU",15.85,112.2,96.4,69.9,0.002
"46","Nevada",15.84,113.1,97.2,68.4,0.03
"47","Boston College",15.79,112.8,97,67,0.026
"48","Virginia",15.08,108.8,93.7,71.6,0.007
"49","Gonzaga",15,110.1,95.1,70.3,-0.032
"50","DePaul",14.99,107.4,92.4,64.8,-0.019
"51","Winthrop",14.37,107.5,93.1,66.8,0.055
"52","LSU",14.17,104,89.8,65.8,-0.095
"53","Bradley",14.16,111.9,97.8,69.7,0.025
"54","VCU",14.1,111.7,97.6,67.9,0.003
"55","Georgia",13.95,106.5,92.6,70.3,-0.03
"56","Oklahoma",13.42,103.4,90,65.1,-0.133
"57","Kansas St.",13.38,104.6,91.2,68.8,0.026
"58","Connecticut",13.37,99.2,85.9,71.4,-0.11
"59","Mississippi",13.21,107.4,94.2,70.3,0.017
"60","Michigan",13.17,104.2,91.1,65.3,0.038
"61","Davidson",13.04,107.6,94.6,74.2,0.067
"62","Alabama",12.83,110,97.1,68.4,0.02
"63","Missouri",12.49,107.4,95,74,-0.054
"64","Old Dominion",12.44,103.8,91.3,67.7,0.014
"65","Wichita St.",12.13,106.2,94,66.3,-0.07
"66","Stanford",12.08,104.7,92.7,68.2,0.028
"67","Massachusetts",12.04,104.3,92.3,73.1,0.009
"68","Washington",11.95,108.4,96.5,71.4,0.018
"69","Northern Iowa",11.18,104,92.8,64.8,-0.013
"70","Iowa",10.88,106.4,95.5,68.2,-0.006
"71","Providence",10.68,107.5,96.8,71.6,-0.024
"72","Texas Tech",10.67,107.6,96.9,67.4,0.058
"73","Drexel",10.44,99.4,88.9,67.2,0.05
"74","Oklahoma St.",10.37,104.9,94.5,68.3,0.045
"75","North Carolina St.",10.19,108,97.8,68.8,0.049
"76","Appalachian St.",10.07,106.9,96.8,69.3,0.076
