"","team","W_L","AdjEM","AdjO","AdjD","AdjT","luck"
"1","Louisville","35-5","+32.90","116.0","83.1","66.8","-.016"
"2","Florida","29-8","+31.18","115.5","84.3","63.4","-.089"
"3","Indiana","29-7","+29.28","119.0","89.8","67.1","-.021"
"4","Michigan","31-8","+27.80","120.2","92.4","65.1","-.006"
"5","Gonzaga","32-3","+27.79","118.6","90.9","64.5","+.026"
"6","Duke","30-6","+26.95","117.3","90.4","68.2","+.033"
"7","Ohio St.","29-8","+25.40","113.4","88.0","64.6","+.020"
"8","Kansas","31-6","+25.17","110.9","85.7","67.7","+.010"
"9","Syracuse","30-10","+24.78","111.4","86.7","64.4","-.003"
"10","Michigan St.","27-9","+24.14","110.8","86.7","64.5","+.001"
"11","Pittsburgh","24-9","+24.13","113.8","89.7","61.0","-.058"
"12","Wisconsin","23-12","+22.51","106.4","83.9","61.9","-.033"
"13","Miami FL","29-7","+22.36","111.9","89.5","63.8","+.029"
"14","Arizona","27-8","+21.86","113.5","91.7","66.7","-.011"
"15","Creighton","28-8","+21.70","116.4","94.7","65.2","-.009"
"16","Georgetown","25-7","+21.20","105.8","84.6","62.5","+.039"
"17","Wichita St.","30-9","+20.27","110.0","89.8","65.3","-.002"
"18","VCU","27-9","+20.23","112.2","91.9","67.8","+.002"
"19","Saint Louis","28-7","+19.99","106.8","86.8","65.2","+.000"
"20","Minnesota","21-13","+19.82","112.9","93.1","63.6","-.036"
"21","Saint Mary's","28-7","+19.31","114.3","95.0","64.2","+.024"
"22","Colorado St.","26-9","+19.10","116.2","97.1","64.9","+.020"
"23","New Mexico","29-6","+19.00","108.0","89.0","65.1","+.074"
"24","Oklahoma St.","24-9","+18.66","107.2","88.5","67.4","-.016"
"25","Missouri","23-11","+18.54","113.2","94.6","68.2","-.032"
"26","Marquette","26-9","+18.29","111.5","93.2","63.9","+.090"
"27","Kansas St.","27-8","+18.13","111.7","93.6","63.0","+.051"
"28","Baylor","23-14","+17.84","112.5","94.6","68.1","-.090"
"29","Iowa","25-13","+17.77","108.0","90.2","67.0","-.029"
"30","Iowa St.","23-12","+17.58","115.7","98.1","69.8","-.046"
"31","San Diego St.","23-11","+17.40","105.9","88.5","66.8","-.049"
"32","North Carolina","25-11","+17.13","110.4","93.3","70.9","+.038"
"33","Mississippi","27-9","+16.95","110.5","93.6","70.1","-.011"
