"","team","W_L","AdjEM","AdjO","AdjD","AdjT","luck"
"1","Kansas","37-3","+34.39","116.7","82.3","69.9","+.012"
"2","Memphis","38-2","+30.78","114.0","83.2","71.1","+.012"
"3","North Carolina","36-3","+29.56","118.2","88.6","75.7","+.050"
"4","UCLA","35-4","+29.27","113.9","84.6","67.3","+.047"
"5","Wisconsin","31-5","+26.24","109.8","83.6","64.2","+.043"
"6","Duke","28-6","+25.84","112.2","86.4","75.1","-.006"
"7","Georgetown","28-6","+24.96","110.7","85.7","63.8","+.029"
"8","Louisville","27-9","+24.90","109.4","84.5","68.4","-.057"
"9","Texas","31-7","+24.52","116.2","91.7","67.4","+.046"
"10","Washington St.","26-9","+23.77","111.1","87.4","61.7","-.003"
"11","Davidson","29-7","+23.01","112.8","89.8","69.1","-.036"
"12","Stanford","28-8","+22.23","109.2","86.9","66.6","+.039"
"13","Marquette","25-10","+21.74","110.7","88.9","70.3","-.027"
"14","Tennessee","31-5","+21.73","112.4","90.6","73.5","+.110"
"15","Xavier","30-7","+21.61","113.4","91.8","66.8","+.054"
"16","Clemson","24-10","+21.61","110.0","88.4","71.9","-.045"
"17","Drake","28-5","+20.86","115.2","94.3","66.4","+.012"
"18","West Virginia","26-11","+20.72","110.1","89.3","67.3","-.017"
"19","Michigan St.","27-9","+20.54","110.9","90.4","66.8","+.033"
"20","Butler","30-4","+19.56","112.4","92.8","62.7","+.003"
"21","Texas A&M","25-11","+19.53","108.0","88.5","65.6","+.005"
"22","Pittsburgh","27-10","+19.47","111.8","92.4","67.5","+.028"
"23","Notre Dame","25-8","+18.67","110.9","92.3","72.6","+.043"
"24","Arizona","19-15","+18.64","112.5","93.9","66.7","-.077"
"25","Kansas St.","21-12","+18.54","110.0","91.4","72.9","-.048"
"26","Gonzaga","25-8","+18.54","109.9","91.4","69.4","-.030"
"27","Connecticut","24-9","+18.41","110.5","92.1","71.0","+.000"
"28","USC","21-12","+18.19","106.5","88.3","68.0","-.004"
"29","Indiana","25-8","+17.96","110.7","92.7","69.0","+.038"
"30","Purdue","25-9","+17.87","106.6","88.7","69.5","-.024"
"31","Ohio St.","24-13","+17.33","105.8","88.5","67.6","-.026"
"32","New Mexico","24-9","+16.78","107.3","90.5","67.6","-.045"
"33","Mississippi St.","23-11","+16.27","103.6","87.3","70.4","-.042"
"34","Virginia Tech","21-14","+15.91","103.3","87.4","69.1","-.048"
"35","BYU","27-8","+15.40","103.4","88.0","71.0","+.027"
"36","Oregon","18-14","+15.30","114.9","99.6","68.7","-.034"
"37","Florida","24-12","+15.09","111.7","96.6","68.6","-.042"
"38","Miami FL","23-11","+15.02","108.2","93.2","69.4","-.003"
"39","Nebraska","20-13","+14.94","104.5","89.5","65.1","-.041"
"40","Arkansas","23-12","+14.83","107.8","93.0","70.0","+.009"
"41","Baylor","21-11","+14.51","111.4","96.9","73.0","-.028"
"42","Saint Mary's","25-7","+14.40","105.6","91.2","69.6","+.030"
"43","Western Kentucky","29-7","+14.36","108.4","94.0","70.9","-.020"
"44","Oklahoma","23-12","+14.16","105.9","91.7","65.8","+.077"
"45","Saint Joseph's","21-13","+14.01","111.2","97.2","67.0","-.068"
"46","Villanova","22-13","+13.84","105.6","91.8","71.0","+.037"
"47","Syracuse","21-14","+13.78","107.9","94.1","74.4","-.026"
"48","UNLV","27-8","+13.46","106.0","92.5","67.4","+.081"
"49","Arizona St.","21-13","+13.21","107.0","93.8","63.4","+.011"
"50","Illinois","16-19","+13.20","103.3","90.1","64.4","-.119"
"51","Mississippi","24-11","+13.17","109.5","96.3","72.8","+.010"
"52","Massachusetts","25-11","+12.82","106.6","93.7","77.5","+.005"
"53","Georgia Tech","15-17","+12.78","110.3","97.5","72.7","-.077"
"54","Missouri","16-16","+12.77","108.8","96.0","72.9","-.105"
"55","Kent St.","28-7","+12.73","103.7","90.9","67.9","+.075"
"56","Vanderbilt","26-8","+12.32","108.4","96.1","71.9","+.110"
"57","Temple","21-13","+12.10","108.8","96.7","67.0","-.019"
"58","Illinois St.","25-10","+12.03","102.1","90.1","65.5","+.043"
