"","team","W_L","AdjEM","AdjO","AdjD","AdjT","luck"
"1","North Carolina","34-4","+30.53","119.8","89.3","75.5","-.011"
"2","Connecticut","31-5","+28.57","112.2","83.6","70.1","+.024"
"3","Pittsburgh","31-5","+28.26","117.3","89.1","68.3","-.012"
"4","Memphis","33-4","+27.93","108.8","80.9","69.2","-.009"
"5","Louisville","31-6","+25.53","108.3","82.7","69.6","+.068"
"6","Missouri","31-7","+24.32","113.3","89.0","73.4","+.032"
"7","Oklahoma","30-6","+24.08","114.6","90.6","69.7","+.018"
"8","Gonzaga","28-6","+23.84","113.3","89.4","69.9","+.003"
"9","Duke","30-7","+23.78","114.0","90.2","69.3","+.053"
"10","Michigan St.","31-7","+23.75","110.4","86.6","69.1","+.092"
"11","West Virginia","23-12","+23.65","110.3","86.7","67.0","-.068"
"12","UCLA","26-9","+23.44","115.8","92.3","67.5","-.030"
"13","Kansas","27-8","+23.32","110.5","87.2","70.6","-.012"
"14","Villanova","30-8","+23.26","110.1","86.8","71.8","+.021"
"15","Arizona St.","25-10","+22.48","114.2","91.7","62.0","-.018"
"16","Syracuse","28-10","+21.67","113.2","91.6","72.0","+.025"
"17","Washington","26-9","+21.53","108.8","87.3","74.5","-.005"
"18","Purdue","27-10","+21.36","106.5","85.1","68.2","-.013"
"19","Marquette","25-10","+20.52","113.5","93.0","70.1","-.013"
"20","Xavier","27-8","+19.79","107.0","87.2","68.3","-.007"
"21","BYU","25-8","+19.70","110.5","90.8","70.7","-.046"
"22","Clemson","23-9","+19.17","112.3","93.1","71.1","-.023"
"23","Texas","23-12","+19.14","108.0","88.9","68.6","-.047"
"24","Wake Forest","24-7","+18.54","108.1","89.5","75.7","+.052"
"25","Illinois","24-10","+18.33","103.1","84.8","65.4","+.001"
"26","Oklahoma St.","23-12","+17.96","113.3","95.3","72.1","-.003"
"27","USC","22-13","+17.82","106.1","88.3","66.6","-.032"
"28","Utah","24-10","+17.42","107.2","89.7","67.4","+.013"
"29","Wisconsin","20-13","+17.24","109.9","92.7","61.0","-.051"
"30","California","22-11","+17.01","113.4","96.4","68.0","+.002"
"31","Georgetown","16-15","+16.58","107.4","90.8","65.4","-.105"
"32","Tennessee","21-13","+16.18","111.5","95.3","71.0","-.032"
"33","Baylor","24-15","+15.99","112.4","96.4","68.6","-.017"
"34","Ohio St.","22-11","+15.97","109.2","93.2","64.8","+.042"
"35","Florida","25-11","+15.78","111.5","95.7","68.9","-.076"
"36","San Diego St.","26-10","+15.67","105.5","89.8","65.0","+.020"
"37","Arizona","21-14","+15.55","114.0","98.4","67.1","+.019"
"38","Butler","26-6","+15.50","106.9","91.4","65.1","-.014"
"39","Florida St.","25-10","+15.36","102.0","86.7","68.7","+.066"
"40","Notre Dame","21-15","+15.04","111.3","96.2","69.8","-.033"
"41","Minnesota","22-11","+14.99","103.7","88.7","66.9","+.031"
"42","New Mexico","22-12","+14.92","107.7","92.7","68.6","-.054"
"43","Miami FL","19-13","+14.91","107.1","92.2","67.3","-.048"
"44","Utah St.","30-5","+14.89","113.1","98.2","63.0","+.046"
"45","Texas A&M","24-10","+14.65","109.2","94.5","67.1","+.053"
"46","LSU","27-8","+14.55","107.9","93.4","68.8","+.076"
"47","Michigan","21-14","+14.47","108.3","93.8","64.5","+.014"
"48","Kentucky","22-14","+14.36","104.3","89.9","70.0","-.073"
"49","Washington St.","17-16","+14.23","101.4","87.2","60.3","-.076"
"50","Temple","22-12","+14.09","105.9","91.8","66.5","-.005"
"51","Kansas St.","22-12","+13.86","105.5","91.6","70.0","-.020"
"52","Stanford","20-14","+13.78","108.7","94.9","69.6","-.022"
"53","UAB","22-12","+13.37","105.8","92.4","68.9","-.009"
"54","VCU","24-10","+13.24","105.8","92.5","68.3","-.072"
"55","Maryland","21-14","+13.24","105.8","92.5","69.5","+.040"
"56","Saint Mary's","28-7","+13.08","107.1","94.1","68.8","+.082"
"57","Penn St.","27-11","+12.65","107.9","95.3","64.3","+.082"
"58","Tulsa","25-11","+12.43","102.3","89.8","67.0","+.059"
"59","Auburn","24-12","+12.19","102.9","90.8","71.0","-.031"
"60","Illinois St.","24-10","+12.17","105.2","93.1","66.5","-.038"
"61","Rhode Island","23-11","+12.03","109.8","97.8","70.7","-.042"
"62","North Dakota St.","26-7","+12.01","110.4","98.4","69.9","-.009"
"63","Nebraska","18-13","+11.85","100.4","88.6","64.9","-.031"
"64","Davidson","27-8","+11.82","101.4","89.6","72.6","+.003"
"65","Northwestern","17-14","+11.67","106.9","95.3","63.1","-.029"
"66","Cleveland St.","26-11","+11.67","101.9","90.2","66.6","+.010"
"67","Siena","27-8","+11.64","106.5","94.8","73.4","+.031"
"68","Creighton","27-8","+11.62","107.6","96.0","69.6","+.049"
"69","Mississippi St.","23-13","+11.29","103.5","92.2","70.7","-.005"
"70","Houston","21-12","+11.19","105.5","94.3","71.0","-.037"
"71","Virginia Tech","19-15","+11.17","107.0","95.8","68.4","-.007"
"72","South Carolina","21-10","+11.16","104.0","92.8","74.8","-.012"
"73","UNLV","21-11","+11.06","102.8","91.8","68.0","+.010"
"74","Boston College","22-12","+10.87","109.3","98.4","68.2","+.039"
"75","Niagara","26-9","+10.30","104.4","94.1","72.2","+.003"
"76","Seton Hall","17-15","+10.05","106.8","96.8","70.4","-.024"
"77","Dayton","27-8","+10.04","99.7","89.6","67.0","+.108"
"78","Providence","19-14","+10.03","107.3","97.3","74.8","+.033"
"79","Green Bay","22-11","+9.91","108.8","98.9","67.8","-.018"
"80","Vanderbilt","19-12","+9.84","104.0","94.1","68.4","-.010"
"81","North Carolina St.","16-14","+9.65","109.5","99.9","66.4","-.059"
"82","UTEP","23-14","+9.58","104.6","95.0","72.7","+.004"
"83","Northern Iowa","23-11","+9.48","106.7","97.2","63.7","+.053"
"84","Vermont","24-9","+8.90","105.2","96.3","71.2","-.020"
"85","Duquesne","21-13","+8.79","111.2","102.4","71.4","+.009"
"86","Cincinnati","18-14","+8.53","104.5","96.0","66.6","+.032"
"87","Iowa","15-17","+8.19","104.8","96.6","59.6","-.056"
"88","Western Kentucky","25-9","+7.96","107.7","99.7","68.0","+.092"
"89","George Mason","22-11","+7.92","100.9","93.0","65.0","-.012"
"90","Oral Roberts","16-15","+7.60","99.4","91.8","70.0","-.110"
"91","Miami OH","17-13","+7.19","99.8","92.6","63.4","-.004"
"92","Old Dominion","25-10","+7.03","101.9","94.8","64.3","+.043"
"93","Mississippi","16-15","+6.96","107.2","100.2","69.1","-.000"
"94","Texas Tech","14-19","+6.87","105.5","98.6","73.9","-.017"
"95","Northeastern","19-13","+6.79","102.6","95.8","62.3","+.023"
"96","Akron","23-13","+6.78","99.3","92.5","67.3","-.014"
"97","Wright St.","20-13","+6.68","97.1","90.4","64.1","+.015"
"98","Saint Joseph's","17-15","+6.59","102.5","95.9","66.7","-.041"
"99","Georgia Tech","12-19","+6.56","96.9","90.3","73.4","-.107"
"100","Stephen F. Austin","24-8","+6.47","93.6","87.1","65.4","+.052"
"101","Alabama","18-14","+6.43","102.2","95.8","70.9","-.015"
"102","Oakland","23-13","+6.16","110.1","103.9","67.8","+.026"
"103","Nevada","21-13","+6.01","101.8","95.8","69.1","+.002"
"104","Virginia","10-18","+5.60","99.7","94.1","71.0","-.065"
"105","East Tennessee St.","23-11","+5.50","102.6","97.1","72.9","-.047"
"106","La Salle","18-13","+5.18","101.4","96.2","69.8","-.009"
"107","Cal St. Northridge","17-14","+5.10","98.9","93.8","73.8","-.045"
"108","Cornell","21-10","+5.03","104.7","99.7","68.2","-.004"
"109","Portland","19-13","+4.89","103.8","99.0","67.2","-.005"
"110","Pacific","21-13","+4.86","105.6","100.7","61.6","-.027"
"111","Oregon St.","18-18","+4.82","102.1","97.2","61.0","+.067"
"112","American","24-8","+4.58","101.7","97.1","63.4","+.093"
"113","Iowa St.","15-17","+4.42","98.9","94.4","66.5","-.017"
"114","Richmond","20-16","+4.39","103.6","99.2","66.8","-.034"
"115","Weber St.","21-10","+4.13","100.0","95.9","68.8","+.080"
"116","Belmont","20-13","+4.11","103.3","99.1","71.6","-.047"
"117","Tennessee Martin","22-10","+4.09","104.7","100.6","71.0","+.015"
"118","Bradley","21-15","+3.94","102.0","98.0","66.8","+.046"
"119","Portland St.","23-10","+3.91","105.1","101.2","68.1","+.024"
"120","Buffalo","21-12","+3.87","98.7","94.8","67.5","+.036"
"121","St. John's","16-18","+3.83","98.4","94.5","68.4","+.000"
"122","Jacksonville","18-14","+3.69","104.8","101.1","68.8","-.070"
"123","Sam Houston St.","18-12","+3.60","104.4","100.8","69.3","-.065"
