"","team","AdjEM","AdjO","AdjD","AdjT","luck"
"1","Kentucky",32.55,119.6,87.1,67.2,0.033
"2","Ohio St.",30.04,115.5,85.5,67.8,-0.049
"3","Michigan St.",27.81,112.1,84.2,65.8,-0.027
"4","Kansas",26.87,111.4,84.6,68.2,0.028
"5","Syracuse",26.04,115.1,89.1,65.9,0.061
"6","North Carolina",25.44,113.4,88,72.6,0.017
"7","Missouri",25.28,122.4,97.1,67.1,0.017
"8","Wisconsin",24.03,111.1,87.1,59.7,-0.017
"9","Indiana",22.53,117.5,95,68,0.007
"10","Florida",22.47,117.8,95.3,65.8,-0.044
"11","Wichita St.",22.36,113.4,91.1,67.4,-0.016
"12","Memphis",21.88,111.4,89.6,68.7,-0.063
"13","Baylor",21.25,113.4,92.1,67.6,0.058
"14","Saint Louis",21.24,109.3,88,64.2,-0.055
"15","Georgetown",21.04,108.5,87.5,64.1,-0.014
"16","Vanderbilt",20.9,112.9,92,66.3,-0.048
"17","Louisville",20.66,103.6,83,67.9,0.031
"18","Marquette",20.2,108.8,88.6,71.7,0.042
"19","Duke",19.67,114.9,95.2,68.5,0.058
"20","New Mexico",19.43,108.2,88.7,67.2,0.003
"21","Gonzaga",18.37,110.4,92,67,-0.019
"22","Michigan",17.5,111.5,94,62,0.058
"23","Kansas St.",17.49,107.2,89.7,68,-0.024
"24","Florida St.",17.11,104.8,87.7,68.1,0.035
"25","Belmont",16.91,114.3,97.4,69.3,-0.016
"26","Alabama",16.67,103.4,86.7,63.8,-0.066
"27","Iowa St.",16.64,111.1,94.5,67.8,-0.004
"28","Creighton",16.47,116.6,100.1,67.7,0.079
"29","California",16.32,108.5,92.2,67.4,-0.008
"30","Purdue",16.25,113.4,97.1,65.9,-0.003
"31","Cincinnati",15.99,106.9,90.9,64.7,0.024
"32","Texas",15.87,110.2,94.3,67.2,-0.066
"33","Virginia",15.86,102.4,86.5,61.5,-0.025
"34","Saint Mary's",15.46,111.7,96.2,65,0.037
"35","Murray St.",15.37,105.9,90.5,67.1,0.032
"36","Long Beach St.",15.29,108.9,93.6,68.2,-0.046
"37","UNLV",14.96,106.5,91.5,69.9,0.006
"38","Connecticut",14.49,108.6,94.1,64.9,-0.034
"39","Temple",14.47,110.6,96.1,68.2,0.055
"40","Stanford",14.35,104.2,89.8,69,-0.018
"41","Harvard",14.34,106.1,91.8,62.2,0.027
"42","North Carolina St.",14.19,109.4,95.2,68.6,-0.004
"43","Notre Dame",14.19,108.1,93.9,62,0.032
"44","Drexel",13.53,107.3,93.8,62.1,0.025
"45","West Virginia",13.49,108.7,95.2,65.5,-0.019
"46","VCU",13.48,104.3,90.8,66.4,0.025
"47","South Florida",13.12,101.2,88.1,60.4,0.041
"48","Miami FL",13.12,108.3,95.2,66,-0.037
"49","Middle Tennessee",12.88,105.8,92.9,67.5,-0.003
"50","BYU",12.75,103.6,90.8,74.1,0.02
"51","Arizona",12.74,104.8,92.1,66.2,-0.05
"52","Minnesota",12.73,105.8,93.1,65.3,0.016
"53","Xavier",12.63,106,93.4,68,0.03
"54","Iona",12.24,112.7,100.5,71.9,-0.01
"55","Seton Hall",12.2,104,91.8,66.8,0.001
"56","Washington",11.9,106.8,95,71.2,0.025
"57","Ohio",11.87,103.9,92,67.6,0.021
"58","St. Bonaventure",11.84,107.9,96.1,65.3,-0.024
"59","UCLA",11.83,106.1,94.2,66.2,-0.073
"60","Oregon",11.79,111.5,99.7,68.8,0.04
"61","South Dakota St.",11.67,110.9,99.2,66.5,0.031
"62","La Salle",11.51,104.6,93.1,69.5,-0.096
"63","Tennessee",11.37,103.9,92.5,66.2,-0.04
"64","Pittsburgh",11.33,110.7,99.4,63.8,-0.037
"65","New Mexico St.",11.22,106.6,95.4,70.8,-0.041
"66","San Diego St.",11.13,104.1,93,67.5,0.06
"67","Saint Joseph's",10.91,107.7,96.8,66.8,-0.053
"68","Southern Miss",10.81,108.5,97.6,65.5,0.041
"69","Dayton",10.76,110.4,99.7,66,-0.015
"70","Davidson",10.7,109.4,98.7,69.1,0.008
"71","Akron",10.64,105.6,94.9,68.3,-0.02
"72","Northwestern",10.5,112,101.5,64.2,0.048
"73","Denver",10.37,108.1,97.7,62.1,-0.072
"74","Massachusetts",9.81,103.4,93.6,74.7,0.055
"75","Northern Iowa",9.53,104.2,94.7,63.6,0.002
"76","Illinois",9.45,101.4,92,65.7,-0.007
"77","Mississippi St.",9.34,109,99.6,65.8,0.006
"78","Lehigh",9.32,105.9,96.6,69.2,-0.026
"79","Marshall",9.27,106.7,97.4,66.9,0.025
"80","Cleveland St.",9.24,102.8,93.5,65.5,0.007
"81","Colorado",8.83,102.1,93.3,66.7,0.082
"82","Clemson",8.65,102.7,94.1,64.4,-0.107
"83","Virginia Tech",8.63,104,95.4,63.7,-0.094
"84","Georgia St.",8.59,99.4,90.8,65.7,-0.075
"85","Villanova",8.49,106.4,97.9,68.7,-0.097
"86","Missouri St.",8.21,102.6,94.4,64.2,-0.094
"87","Oregon St.",8.21,108.3,100.1,71.5,-0.059
"88","Colorado St.",8.15,109.1,101,65.3,0.075
"89","Bucknell",8.14,104.8,96.6,64.8,0.009
"90","Oral Roberts",8.08,109,100.9,64.9,0.063
"91","Wyoming",8.01,99,91,62.2,-0.032
"92","Buffalo",7.93,104.7,96.8,69.1,-0.001
"93","Illinois St.",7.77,106.6,98.8,65.3,0.003
"94","Mississippi",7.75,101.9,94.2,67.2,0.065
"95","Tulsa",7.71,103.4,95.7,65.5,-0.073
"96","Mercer",7.67,102.4,94.8,65.9,0.02
"97","Oklahoma St.",7.58,104.3,96.7,66.9,-0.017
"98","LSU",7.34,99,91.6,67.1,0.019
"99","Washington St.",7.32,107.1,99.8,64.5,-0.057
"100","Princeton",7.27,104.9,97.6,64.2,-0.017
"101","Wagner",7.16,102,94.8,68.9,0.015
"102","Iowa",7.12,108.8,101.7,68.6,0.01
"103","UCF",7.07,103.8,96.7,64.6,0.095
"104","Montana",6.78,100.9,94.1,66.3,0.065
"105","Oklahoma",6.6,102.7,96.1,68.2,-0.019
"106","Nevada",6.49,103.2,96.7,66.4,0.128
"107","UC Santa Barbara",6.37,108.5,102.1,65.2,-0.008
"108","Lamar",6.37,104.8,98.4,68,-0.027
"109","Richmond",6.1,106.5,100.4,65.1,-0.047
"110","George Mason",6.08,101.4,95.3,68.8,0.048
"111","Old Dominion",6.03,99.2,93.2,66.2,-0.005
"112","Georgia",5.95,101.8,95.9,62.7,0.032
"113","Fairfield",5.65,98,92.3,66,-0.066
"114","Detroit",5.48,105.4,99.9,68.5,-0.006
"115","UNC Asheville",5.48,107.8,102.3,70.1,0.001
"116","Butler",5.31,97,91.7,65.8,0.021
"117","Kent St.",5.26,102.8,97.5,68.6,0.005
"118","Vermont",5.18,102.4,97.3,63.9,-0.022
"119","Evansville",5.14,108,102.9,67.9,-0.022
"120","Rutgers",5.1,99.2,94.1,66.8,-0.052
"121","UT Arlington",5.07,102.7,97.6,72.4,0.021
"122","Texas A&M",5.05,98.6,93.6,63.3,-0.054
"123","Robert Morris",4.95,103.2,98.3,65.3,0.041
"124","Duquesne",4.33,104.5,100.1,69.3,0.024
"125","Utah St.",4.25,105.3,101,64.1,-0.067
"126","Arkansas",4.08,103.7,99.6,71,0.029
"127","Providence",4.08,107.2,103.1,66.7,-0.012
"128","Manhattan",3.9,100.6,96.7,68.6,-0.021
"129","Loyola MD",3.9,101.2,97.3,65.7,0.114
"130","UAB",3.82,98.4,94.6,62.9,0.02
"131","Weber St.",3.78,107.6,103.8,67.3,0.111
"132","Bowling Green",3.75,101.1,97.3,65.7,-0.064
"133","Maryland",3.37,104,100.6,67.7,0.091
"134","Penn St.",3.34,100,96.6,64.6,-0.025
"135","USC Upstate",3.22,100.4,97.2,69.1,0.033
"136","East Carolina",3.21,101.9,98.7,67.1,-0.095
"137","Indiana St.",3.08,99.2,96.1,65.6,0.059
"138","Valparaiso",3.04,103.3,100.2,65.9,0.102
"139","Penn",2.9,101.2,98.3,64,0.059
"140","Loyola Marymount",2.72,99.5,96.7,67.9,0.057
"141","Drake",2.65,98.4,95.8,67.7,0.035
"142","Stony Brook",2.62,100.8,98.2,63.2,0.022
"143","UTEP",2.57,99.2,96.6,63.3,-0.031
"144","Milwaukee",2.33,97.9,95.5,66.9,0.032
"145","San Francisco",2.28,106.2,103.9,70,-0.001
"146","East Tennessee St.",2.22,99.1,96.9,66.3,-0.016
"147","Auburn",2.12,96.9,94.8,65.6,0.025
"148","Rice",1.86,98.3,96.5,69.5,-0.007
"149","Oakland",1.72,111.7,110,71.1,0.022
"150","Charlotte",1.7,97.3,95.6,69.4,0.001
"151","DePaul",1.65,105.7,104.1,72.7,-0.045
"152","Nebraska",1.57,100.5,98.9,63.3,0.033
"153","Quinnipiac",1.46,101.3,99.8,67.9,-0.07
"154","Boise St.",1.38,102.6,101.2,65.8,-0.083
"155","Idaho",1.3,103.9,102.6,64.8,0.012
"156","Stephen F. Austin",1.29,94.6,93.3,60.7,-0.058
"157","St. John's",1.19,101.1,99.9,68.1,0.031
"158","Yale",1.16,98.5,97.4,67.6,0.1
"159","Cal St. Fullerton",0.89,106.4,105.5,70.1,0.007
"160","College of Charleston",0.83,99.6,98.8,68.6,0.029
"161","LIU Brooklyn",0.77,105.8,105,75.2,0.118
"162","TCU",0.73,103.6,102.9,69.2,0.085
"163","North Dakota St.",0.71,103.4,102.7,67.4,-0.056
"164","South Carolina",0.64,100.7,100,63.3,-0.071
"165","Youngstown St.",0.61,103.6,103,66.2,-0.021
"166","Cal Poly",0.52,101.6,101.1,61,-0.07
"167","North Texas",0.39,98.1,97.7,69.2,-0.039
"168","Tennessee St.",0.12,98.4,98.3,66.8,0.089
"169","Western Michigan",-0.03,102.9,103,66.8,-0.069
"170","Delaware",-0.06,100.7,100.8,68.6,0.041
"171","Charleston Southern",-0.65,101.9,102.5,71.1,0.008
"172","George Washington",-0.71,99,99.7,64.7,-0.039
"173","UTSA",-0.79,101.3,102,68,-0.05
"174","Georgia Tech",-0.8,95.7,96.5,63.9,-0.076
"175","Green Bay",-0.83,98.7,99.5,67.3,0.068
"176","American",-0.91,98.5,99.4,63.8,0.057
"177","Florida Gulf Coast",-0.92,102.4,103.4,68.6,-0.029
"178","Western Illinois",-1.27,94.6,95.9,60.1,0.023
"179","Fresno St.",-1.41,98.6,100,63.8,-0.09
"180","Arkansas Little Rock",-1.53,95.6,97.1,65.5,0.025
"181","Boston University",-1.55,97.2,98.8,65.6,-0.01
"182","Savannah St.",-1.67,92.4,94,64.9,0.067
"183","Norfolk St.",-1.8,98.1,99.9,68.5,0.188
"184","Columbia",-1.85,98.4,100.2,64.3,-0.047
"185","North Florida",-1.92,100.4,102.3,66.9,0.066
"186","Coastal Carolina",-1.93,100.2,102.1,66,-0.005
"187","Tennessee Tech",-2.05,100.6,102.7,69.1,0.068
"188","Northeastern",-2.19,97.8,100,65.3,0.037
