"","team","W_L","AdjEM","AdjO","AdjD","AdjT","luck"
"1","Louisville","31-6","+30.40","118.3","87.9","68.9","-.044"
"2","Arizona","33-5","+30.12","115.9","85.8","64.4","+.014"
"3","Florida","36-3","+28.55","116.0","87.4","62.9","+.053"
"4","Virginia","30-7","+26.45","114.1","87.7","61.2","+.013"
"5","Wisconsin","30-8","+25.83","121.4","95.6","63.9","+.019"
"6","Wichita St.","35-1","+25.36","117.1","91.8","64.9","-.009"
"7","Kansas","25-10","+24.55","118.7","94.1","68.5","-.050"
"8","Duke","26-9","+24.22","124.1","99.9","65.9","-.035"
"9","Michigan St.","29-9","+23.92","118.0","94.1","66.0","-.003"
"10","Tennessee","24-13","+23.67","117.3","93.6","63.2","-.098"
"11","Villanova","29-5","+23.63","115.7","92.1","67.8","+.075"
"12","Michigan","28-9","+23.44","123.3","99.9","62.9","+.048"
"13","Kentucky","29-11","+22.57","117.8","95.3","65.7","-.025"
"14","UCLA","28-9","+22.52","118.1","95.6","69.9","-.019"
"15","Connecticut","32-8","+22.11","113.0","90.9","65.2","+.080"
"16","Pittsburgh","26-10","+21.88","116.3","94.4","63.4","-.038"
"17","Creighton","27-8","+21.69","123.6","102.0","65.2","+.024"
"18","Syracuse","28-6","+21.59","114.0","92.5","61.1","+.017"
"19","Ohio St.","25-10","+21.31","108.6","87.3","65.8","-.043"
"20","Iowa St.","28-8","+21.05","118.3","97.2","71.7","+.064"
"21","Oklahoma St.","21-13","+20.93","115.4","94.4","69.0","-.109"
"22","Iowa","20-13","+20.41","119.6","99.2","69.9","-.116"
"23","San Diego St.","31-5","+20.37","109.8","89.4","63.8","+.068"
"24","Gonzaga","29-7","+20.14","113.4","93.3","67.0","+.016"
"25","VCU","26-9","+19.80","108.6","88.8","70.2","-.058"
"26","Baylor","26-12","+19.34","118.3","98.9","63.6","+.012"
"27","Cincinnati","27-7","+19.24","109.0","89.8","63.0","+.036"
"28","Oregon","24-10","+19.00","118.3","99.3","69.7","-.037"
"29","North Carolina","24-10","+18.44","112.1","93.6","70.9","+.001"
"30","Oklahoma","23-10","+17.85","117.3","99.4","71.1","-.022"
"31","SMU","27-10","+17.67","110.8","93.1","66.0","-.043"
"32","Harvard","27-5","+17.58","112.2","94.7","65.4","+.020"
"33","New Mexico","27-7","+17.17","112.9","95.7","66.0","+.033"
"34","Stanford","23-13","+16.04","111.8","95.8","67.0","+.016"
"35","Saint Louis","27-7","+15.71","105.2","89.5","67.4","+.040"
"36","Memphis","24-10","+15.21","111.8","96.5","69.3","+.048"
"37","Louisiana Tech","29-8","+15.06","109.8","94.8","71.4","+.002"
"38","Florida St.","22-14","+14.85","111.7","96.8","66.6","-.005"
"39","Arizona St.","21-12","+14.85","110.6","95.8","68.9","+.003"
"40","Utah","21-12","+14.80","110.1","95.3","65.6","-.052"
"41","Texas","24-11","+14.51","111.2","96.7","68.6","+.093"
"42","Dayton","26-11","+14.24","113.2","99.0","65.5","+.038"
"43","Maryland","17-15","+14.21","108.7","94.5","68.6","-.074"
"44","Arkansas","22-12","+14.13","110.5","96.4","72.2","-.033"
"45","Kansas St.","20-13","+14.06","107.2","93.1","65.5","+.002"
"46","Minnesota","25-13","+13.91","113.2","99.3","64.8","+.044"
"47","Providence","23-12","+13.79","113.9","100.2","64.9","+.052"
"48","BYU","23-12","+13.77","113.9","100.1","72.8","-.003"
"49","George Washington","24-9","+13.76","110.2","96.5","67.6","+.057"
"50","Massachusetts","24-9","+13.44","109.4","95.9","71.8","+.065"
"51","Clemson","23-13","+13.38","106.5","93.2","60.6","+.009"
"52","Illinois","20-15","+13.09","105.9","92.8","63.0","+.007"
"53","St. John's","20-13","+13.08","107.9","94.8","67.9","-.045"
"54","Xavier","21-13","+13.08","112.2","99.1","65.9","+.018"
"55","Saint Joseph's","24-10","+12.91","111.7","98.8","66.0","+.079"
"56","Nebraska","19-13","+12.65","108.2","95.5","65.9","+.047"
"57","Georgetown","18-15","+12.38","112.5","100.1","65.1","-.022"
"58","West Virginia","17-16","+12.24","114.8","102.6","68.2","-.065"
"59","LSU","20-14","+12.10","110.1","98.0","70.0","-.009"
"60","California","21-14","+11.99","111.1","99.1","66.6","+.017"
"61","North Dakota St.","26-7","+11.75","114.9","103.1","64.1","+.089"
"62","North Carolina St.","22-14","+11.57","113.4","101.8","65.8","+.065"
"63","Indiana","17-15","+11.53","107.2","95.7","68.3","-.069"
"64","Southern Miss","29-7","+11.45","110.3","98.8","64.8","+.103"
"65","Saint Mary's","23-12","+11.40","112.0","100.6","63.4","+.014"
"66","Georgia St.","25-9","+11.29","115.0","103.7","65.7","-.025"
"67","Colorado","23-12","+11.21","107.0","95.8","66.7","+.120"
"68","Marquette","17-15","+11.04","109.1","98.1","66.1","-.051"
"69","Stephen F. Austin","32-3","+10.85","111.7","100.9","63.8","+.073"
"70","Missouri","23-12","+10.83","113.5","102.6","66.2","+.062"
"71","Green Bay","24-7","+10.81","108.2","97.4","67.3","+.037"
"72","New Mexico St.","26-10","+10.57","112.3","101.7","66.9","-.029"
"73","Boise St.","21-13","+10.56","114.1","103.5","65.7","-.056"
"74","Manhattan","25-8","+10.18","106.6","96.4","69.6","-.008"
"75","Vermont","22-11","+10.18","109.3","99.1","63.7","-.064"
"76","Iona","22-11","+10.14","118.1","107.9","70.3","-.024"
"77","Miami FL","17-16","+9.86","108.6","98.7","58.7","-.045"
"78","Georgia","20-14","+9.41","108.4","99.0","65.2","+.033"
"79","UNLV","20-13","+9.16","107.5","98.3","66.9","-.047"
"80","Penn St.","16-18","+8.96","109.7","100.8","66.5","-.048"
"81","Texas Tech","14-18","+8.96","110.8","101.9","62.4","-.054"
"82","Tulsa","21-13","+8.92","105.5","96.6","68.7","-.023"
"83","Mississippi","19-14","+8.86","110.6","101.8","69.4","-.005"
"84","St. Bonaventure","18-15","+8.77","110.6","101.8","68.0","-.065"
"85","Cleveland St.","21-12","+8.68","110.0","101.3","64.3","-.052"
"86","Alabama","13-19","+8.53","107.2","98.7","64.1","-.092"
"87","Mercer","27-9","+8.38","110.2","101.8","65.5","+.022"
"88","San Francisco","21-12","+8.27","111.9","103.7","65.6","+.051"
"89","Middle Tennessee","24-9","+8.23","104.7","96.5","64.7","+.047"
"90","UC Irvine","23-12","+8.18","103.3","95.1","64.8","-.020"
"91","North Carolina Central","28-6","+7.98","108.1","100.1","64.3","+.041"
"92","Richmond","19-14","+7.96","104.6","96.7","64.3","+.026"
"93","Purdue","15-17","+7.88","107.9","100.0","68.3","-.039"
