"","team","W_L","AdjEM","AdjO","AdjD","AdjT","luck"
"94","Northern Iowa","16-15","+7.84","112.4","104.6","65.9","-.080"
"95","Seton Hall","17-17","+7.84","108.1","100.3","66.0","-.060"
"96","Notre Dame","15-17","+7.70","112.9","105.2","64.6","-.063"
"97","Belmont","26-10","+7.08","113.2","106.1","69.3","+.058"
"98","Washington","17-15","+6.75","111.2","104.4","68.3","+.036"
"99","Butler","14-17","+6.73","105.4","98.6","63.9","-.057"
"100","Princeton","21-9","+6.43","105.8","99.3","65.0","+.014"
"101","Buffalo","19-10","+6.36","109.2","102.8","68.0","-.033"
"102","UC Santa Barbara","21-9","+6.27","110.1","103.8","63.5","+.056"
"103","UTEP","23-11","+5.96","104.7","98.7","64.8","+.015"
"104","Toledo","27-7","+5.95","114.4","108.5","68.6","+.112"
"105","La Salle","15-16","+5.86","105.7","99.8","64.8","+.001"
"106","Delaware","25-10","+5.84","111.4","105.6","71.5","+.064"
"107","Oregon St.","16-16","+5.81","111.8","106.0","67.9","+.004"
"108","Indiana St.","23-11","+5.60","106.2","100.6","67.0","+.083"
"109","Vanderbilt","15-16","+5.47","103.5","98.0","64.2","+.018"
"110","Portland","15-16","+5.40","108.6","103.2","66.8","-.109"
"111","Texas A&M","18-16","+5.39","100.8","95.4","63.8","-.012"
"112","South Carolina","14-20","+5.32","106.9","101.5","67.0","-.052"
"113","Louisiana Lafayette","23-12","+5.19","109.7","104.5","70.4","+.038"
"114","Georgia Tech","16-17","+5.18","104.2","99.0","65.3","-.002"
"115","Rhode Island","14-18","+5.07","103.8","98.7","66.6","-.068"
"116","Fresno St.","21-18","+5.06","109.7","104.6","66.8","+.012"
"117","Wyoming","18-15","+4.97","104.9","99.9","61.1","-.053"
"118","Wake Forest","17-16","+4.96","106.0","101.0","68.0","+.058"
"119","Columbia","21-13","+4.67","107.0","102.4","61.9","-.013"
"120","American","20-13","+4.56","102.8","98.3","61.5","+.008"
"121","Utah St.","18-14","+4.49","109.3","104.8","63.7","+.010"
"122","Auburn","14-16","+4.42","109.2","104.8","67.4","-.025"
"123","Davidson","20-13","+4.22","112.7","108.4","67.7","-.013"
"124","Canisius","21-13","+4.11","111.8","107.7","67.6","+.022"
"125","Eastern Kentucky","24-10","+3.95","111.7","107.8","66.6","+.037"
"126","Boston University","24-11","+3.85","105.7","101.9","66.5","+.077"
"127","Ohio","25-12","+3.74","105.9","102.2","66.5","+.035"
"128","Colorado St.","16-16","+3.52","110.0","106.4","66.2","-.073"
"129","Drexel","16-14","+3.50","104.6","101.1","64.0","-.031"
"130","Towson","25-11","+3.44","110.1","106.6","65.5","+.080"
"131","Wright St.","21-15","+3.38","99.8","96.4","65.5","-.062"
"132","Western Michigan","23-10","+3.35","105.7","102.4","66.7","+.098"
"133","Houston","17-16","+3.35","110.5","107.1","67.0","+.056"
"134","Northwestern","14-19","+3.32","97.6","94.3","62.5","+.033"
"135","Murray St.","23-11","+3.23","108.4","105.2","68.0","+.033"
"136","Eastern Michigan","22-15","+3.15","97.9","94.7","64.8","+.019"
"137","Hawaii","20-11","+3.05","110.4","107.3","68.5","-.045"
"138","San Diego","18-17","+2.97","104.9","101.9","63.7","-.019"
"139","Denver","16-15","+2.86","110.0","107.1","59.6","-.030"
"140","South Dakota St.","19-13","+2.77","106.4","103.7","67.1","-.002"
"141","George Mason","11-20","+2.68","105.2","102.5","67.2","-.036"
"142","Boston College","8-24","+2.43","113.7","111.2","63.2","-.074"
"143","Long Beach St.","15-17","+2.19","104.3","102.2","66.6","-.024"
"144","Nevada","15-17","+2.17","108.8","106.7","65.4","+.027"
"145","IPFW","25-11","+2.09","109.5","107.4","67.4","+.062"
"146","Akron","21-13","+2.08","104.3","102.2","65.8","+.074"
"147","Pacific","18-16","+1.99","109.0","107.0","67.5","+.056"
"148","Illinois St.","18-16","+1.96","101.3","99.3","68.0","+.029"
"149","Quinnipiac","20-12","+1.90","110.6","108.7","70.2","+.055"
"150","Temple","9-22","+1.68","110.1","108.5","68.2","-.078"
"151","Duquesne","13-17","+1.53","110.0","108.5","68.0","-.053"
"152","USC","11-21","+1.52","102.9","101.4","70.2","-.015"
"153","Yale","19-14","+1.29","102.3","101.0","65.3","+.080"
"154","Santa Clara","14-19","+1.18","106.7","105.5","65.5","-.043"
"155","UCF","13-18","+1.06","106.6","105.6","67.7","-.047"
"156","UAB","18-13","+0.99","103.6","102.6","68.8","-.009"
"157","Holy Cross","20-14","+0.99","103.9","102.9","64.3","+.027"
"158","Missouri St.","20-13","+0.98","105.9","104.9","64.7","+.113"
"159","Bucknell","16-14","+0.93","102.4","101.5","64.5","-.041"
"160","Pepperdine","15-16","+0.92","107.2","106.3","66.5","+.025"
"161","Arkansas St.","19-13","+0.61","106.0","105.4","68.4","+.004"
"162","Brown","15-14","+0.60","100.5","99.9","69.6","-.118"
"163","Valparaiso","18-16","+0.55","103.6","103.1","65.4","-.027"
"164","Siena","20-18","+0.31","101.1","100.8","66.7","+.041"
"165","Southern Illinois","14-19","+0.18","105.5","105.3","63.3","-.061"
"166","USC Upstate","19-15","+0.11","104.4","104.3","66.3","-.058"
"167","William & Mary","20-12","+0.11","112.0","111.9","65.2","+.095"
"168","Milwaukee","21-14","+0.11","104.1","104.0","67.6","+.118"
"169","Stony Brook","23-11","+0.04","104.8","104.8","66.2","+.015"
"170","Rutgers","12-21","-0.42","105.8","106.3","68.5","-.012"
"171","Weber St.","19-12","-0.57","105.8","106.4","64.7","-.008"
"172","Charlotte","17-14","-0.57","102.1","102.6","69.4","+.046"
"173","Robert Morris","22-14","-0.64","105.2","105.9","66.5","+.093"
"174","Virginia Tech","9-22","-0.72","99.5","100.3","64.0","-.081"
"175","Old Dominion","18-18","-0.73","100.1","100.8","64.2","+.005"
"176","Cal Poly","14-20","-0.77","103.0","103.8","61.0","-.044"
"177","Nebraska Omaha","17-15","-0.83","104.0","104.8","73.9","-.053"
"178","Loyola Marymount","13-19","-0.91","105.1","106.0","69.5","+.047"
"179","Western Kentucky","20-12","-0.97","100.5","101.5","66.2","+.113"
"180","Albany","19-15","-1.02","102.2","103.3","63.6","+.003"
"181","Morehead St.","20-14","-1.04","102.4","103.4","69.4","+.038"
"182","Florida Gulf Coast","22-13","-1.05","99.4","100.5","68.2","+.011"
"183","DePaul","12-21","-1.20","105.5","106.7","67.2","+.032"
"184","Colgate","13-18","-1.28","107.9","109.2","63.7","-.149"
"185","Youngstown St.","15-17","-1.28","107.4","108.6","67.9","-.053"
"186","Northwestern St.","17-14","-1.29","108.0","109.3","75.7","-.019"
"187","Drake","15-16","-1.46","104.5","105.9","64.7","+.024"
"188","Oral Roberts","17-16","-1.52","107.5","109.0","64.7","-.058"
"189","Wagner","19-12","-1.70","98.0","99.7","68.8","+.017"
"190","Washington St.","10-21","-1.84","101.2","103.0","62.6","-.043"
"191","South Florida","12-20","-1.91","101.7","103.6","65.9","+.017"
"192","Wofford","20-13","-1.95","100.0","101.9","62.3","+.025"
"193","Kent St.","16-16","-2.13","103.6","105.7","66.4","-.022"
"194","Oakland","13-20","-2.13","109.2","111.4","69.0","+.025"
"195","Detroit","13-19","-2.20","100.8","103.0","67.9","-.049"
"196","Sam Houston St.","24-11","-2.53","105.2","107.8","66.1","+.074"
"197","Bryant","18-14","-2.53","105.4","108.0","67.3","+.030"
"198","Southern","19-13","-2.61","97.0","99.6","67.4","-.035"
"199","St. Francis NY","18-14","-2.70","98.3","101.0","66.7","+.007"
"200","College of Charleston","14-18","-2.84","97.4","100.3","62.6","-.068"
"201","Fordham","10-21","-2.88","108.2","111.1","69.1","-.036"
"202","Elon","18-14","-2.96","104.0","107.0","66.6","+.034"
"203","Northeastern","11-21","-3.17","100.8","103.9","65.1","-.047"
"204","Utah Valley","20-12","-3.18","102.3","105.4","63.1","+.121"
"205","Mississippi St.","14-19","-3.36","99.7","103.1","68.6","+.032"
"206","Marist","12-19","-3.89","101.0","104.9","66.5","-.021"
"207","Bowling Green","12-20","-3.92","92.4","96.4","66.7","-.028"
"208","Mount St. Mary's","16-17","-3.96","107.2","111.2","69.8","+.030"
"209","Northern Illinois","15-17","-3.97","93.8","97.7","63.7","+.019"
"210","VMI","22-13","-3.97","107.8","111.7","74.5","+.062"
"211","Evansville","14-19","-4.19","102.5","106.7","66.9","+.007"
"212","TCU","9-22","-4.37","98.8","103.1","65.7","+.007"
"213","Bradley","12-20","-4.37","99.6","104.0","64.2","-.050"
"214","UT Arlington","15-17","-4.39","105.3","109.7","69.7","+.058"
"215","Montana","17-13","-4.40","106.9","111.3","61.9","+.002"
"216","Hampton","18-13","-4.44","95.8","100.3","71.4","-.000"
"217","Rider","14-17","-4.52","106.3","110.8","67.4","+.041"
"218","Miami OH","13-18","-4.64","98.3","102.9","67.3","+.076"
"219","Arkansas Little Rock","15-17","-4.68","100.5","105.2","67.9","+.060"
"220","Charleston Southern","13-18","-4.92","105.5","110.5","67.9","-.181"
"221","Dartmouth","12-16","-4.96","103.1","108.0","64.5","-.079"
"222","Coastal Carolina","21-13","-5.00","97.6","102.6","67.8","+.040"
"223","Cal St. Bakersfield","13-19","-5.07","100.2","105.3","65.7","-.089"
"224","Cal St. Northridge","17-18","-5.08","105.7","110.8","69.0","+.029"
"225","Morgan St.","15-16","-5.12","99.8","104.9","69.3","+.004"
"226","Southeast Missouri St.","18-14","-5.22","107.8","113.0","70.7","-.012"
"227","Northern Colorado","18-14","-5.23","108.3","113.5","64.1","-.016"
"228","Army","15-16","-5.31","104.5","109.8","68.9","+.016"
"229","Winthrop","20-13","-5.43","102.6","108.0","66.3","+.061"
"230","Texas A&M Corpus Chris","18-16","-5.46","104.5","110.0","62.8","+.017"
"231","FIU","15-16","-5.47","100.8","106.3","66.5","+.053"
"232","North Texas","16-16","-5.52","98.8","104.4","68.5","+.047"
"233","Eastern Washington","15-16","-5.52","105.1","110.6","70.4","-.028"
"234","Hartford","17-16","-5.58","101.6","107.2","63.7","+.028"
"235","UNC Asheville","17-15","-5.77","106.1","111.9","70.5","+.026"
"236","Marshall","11-22","-5.84","99.3","105.2","68.4","-.110"
"237","Western Carolina","19-15","-5.85","103.1","109.0","67.4","+.027"
"238","East Carolina","17-17","-5.87","105.4","111.3","65.7","+.008"
"239","Saint Peter's","14-17","-5.88","97.4","103.3","62.7","+.058"
"240","Seattle","13-17","-5.89","99.8","105.7","67.7","-.066"
"241","Grand Canyon","15-15","-6.01","104.6","110.6","67.3","+.045"
"242","Lehigh","14-18","-6.05","97.4","103.4","66.1","+.042"
"243","East Tennessee St.","19-16","-6.15","102.9","109.0","70.6","+.019"
"244","Florida Atlantic","10-22","-6.41","100.6","107.0","65.0","-.086"
"245","Lafayette","11-20","-6.42","108.7","115.1","66.3","-.061"
"246","Loyola Chicago","10-22","-6.44","101.7","108.1","63.6","-.073"
"247","Cal St. Fullerton","11-20","-6.58","100.4","106.9","67.1","-.022"
"248","Gardner Webb","18-15","-6.62","98.5","105.1","66.7","+.005"
"249","High Point","16-15","-6.65","105.4","112.0","64.5","+.060"
"250","Troy","11-20","-6.80","101.3","108.1","65.1","-.086"
"251","Louisiana Monroe","10-17","-6.96","96.9","103.9","64.2","-.012"
"252","Air Force","12-18","-6.98","99.0","106.0","65.5","+.055"
"253","South Alabama","11-20","-7.07","100.5","107.6","66.2","-.047"
"254","Idaho","16-18","-7.07","104.8","111.8","67.2","+.077"
"255","South Dakota","12-18","-7.12","101.2","108.3","66.7","+.023"
"256","Radford","22-13","-7.38","106.3","113.7","68.4","+.085"
"257","Penn","8-20","-7.47","98.6","106.0","70.0","-.013"
"258","Texas Southern","19-15","-7.48","106.0","113.5","67.3","-.004"
"259","Norfolk St.","19-15","-7.52","102.2","109.8","64.7","+.042"
"260","Idaho St.","11-18","-7.52","103.4","111.0","64.7","-.092"
"261","Incarnate Word","21-6","-7.53","102.2","109.7","70.1","+.015"
"262","Northern Arizona","15-17","-7.67","99.8","107.5","64.2","+.003"
"263","North Dakota","17-17","-7.74","103.8","111.5","69.4","+.063"
"264","North Florida","16-16","-7.74","102.6","110.4","68.3","+.089"
"265","Lipscomb","15-15","-8.01","102.8","110.8","70.5","+.086"
"266","Hofstra","10-23","-8.16","104.4","112.6","65.6","-.037"
"267","James Madison","11-20","-8.27","97.9","106.2","65.1","+.048"
"268","Tennessee Tech","17-16","-8.29","99.6","107.9","68.0","+.091"
"269","Monmouth","11-21","-8.47","96.2","104.7","68.7","-.033"
"270","Niagara","7-26","-8.75","101.4","110.1","72.7","-.025"
"271","Fairfield","7-25","-8.85","95.0","103.8","66.1","-.019"
"272","UMKC","10-20","-8.93","97.8","106.8","70.4","+.017"
"273","UC Riverside","10-21","-8.97","98.1","107.0","67.4","-.049"
"274","Illinois Chicago","6-25","-9.03","99.8","108.9","66.2","-.113"
"275","Western Illinois","10-20","-9.04","93.5","102.6","62.7","-.068"
"276","Sacramento St.","14-16","-9.27","102.9","112.1","64.6","-.008"
"277","Texas St.","8-23","-9.40","94.4","103.8","62.9","-.114"
"278","Portland St.","17-15","-9.44","101.7","111.2","66.5","+.063"
"279","Chattanooga","18-15","-9.51","100.0","109.5","68.8","+.065"
"280","UNC Wilmington","9-23","-9.66","95.4","105.0","64.0","-.043"
"281","Savannah St.","13-19","-9.93","91.2","101.1","64.7","-.038"
"282","Fairleigh Dickinson","10-21","-10.56","101.7","112.3","66.6","-.017"
"283","Chicago St.","13-19","-11.23","97.6","108.9","69.2","+.069"
"284","Liberty","11-21","-11.24","100.8","112.0","65.1","-.130"
"285","Tulane","17-17","-11.42","99.1","110.6","63.7","+.142"
"286","Central Michigan","10-21","-11.47","105.8","117.2","65.3","+.004"
"287","Austin Peay","12-18","-11.62","99.0","110.7","70.9","+.012"
"288","Tennessee St.","5-25","-11.70","101.2","112.9","65.2","-.050"
"289","San Jose St.","7-24","-11.75","93.9","105.7","65.7","-.005"
"290","SIU Edwardsville","11-20","-11.96","100.0","111.9","67.7","-.005"
"291","Georgia Southern","15-19","-12.10","97.8","109.9","66.1","-.040"
"292","Loyola MD","11-19","-12.17","96.5","108.7","66.2","+.063"
"293","Coppin St.","12-20","-12.31","99.7","112.0","68.6","+.007"
"294","Jackson St.","11-20","-12.64","93.1","105.7","67.2","-.043"
"295","Texas Pan American","9-23","-12.80","93.1","105.9","65.9","-.033"
"296","Ball St.","5-25","-13.11","96.0","109.1","67.4","-.022"
"297","Florida A&M","14-18","-13.14","94.3","107.5","71.5","+.050"
"298","Alabama St.","19-13","-13.23","96.6","109.9","67.5","+.095"
"299","Eastern Illinois","11-19","-13.29","98.1","111.4","66.4","+.029"
"300","Rice","7-23","-13.30","94.0","107.3","64.1","-.008"
"301","Sacred Heart","5-26","-13.42","98.7","112.1","68.1","-.093"
"302","Montana St.","14-17","-13.48","94.5","107.9","65.8","+.056"
"303","Jacksonville","12-18","-13.54","102.6","116.1","69.6","+.027"
"304","Nicholls St.","14-15","-13.61","97.4","111.0","65.8","+.109"
"305","Central Connecticut","11-19","-13.66","96.9","110.6","70.2","+.071"
"306","Alabama A&M","14-16","-13.83","91.4","105.2","66.1","+.024"
"307","Navy","9-21","-13.87","92.3","106.2","63.5","-.028"
"308","NJIT","13-16","-13.89","95.9","109.8","68.4","+.055"
"309","Jacksonville St.","10-21","-14.03","97.6","111.6","62.8","-.016"
"310","McNeese St.","11-20","-14.04","97.3","111.3","67.5","+.041"
"311","Northern Kentucky","9-21","-14.05","102.0","116.1","63.5","-.044"
"312","Southeastern Louisiana","12-18","-14.14","98.1","112.3","65.3","+.002"
"313","UTSA","8-22","-14.70","100.4","115.1","67.9","-.000"
"314","St. Francis PA","10-21","-14.75","95.8","110.5","63.2","+.038"
"315","UNC Greensboro","14-18","-15.02","93.3","108.3","70.4","+.054"
"316","UC Davis","9-22","-15.12","100.8","115.9","66.4","+.035"
"317","New Orleans","11-15","-15.21","95.5","110.7","71.7","+.065"
"318","Tennessee Martin","8-23","-15.41","102.5","118.0","69.4","-.065"
"319","LIU Brooklyn","9-20","-15.56","102.5","118.0","68.3","+.076"
"320","Samford","13-20","-15.65","100.2","115.9","67.2","+.010"
"321","Delaware St.","9-21","-15.66","96.5","112.2","60.7","-.063"
"322","UMass Lowell","10-18","-16.03","94.9","110.9","64.6","+.063"
"323","UMBC","9-21","-16.05","92.0","108.1","68.2","-.003"
"324","Alcorn St.","12-19","-16.49","92.8","109.3","63.6","-.014"
"325","Prairie View A&M","11-23","-16.86","95.5","112.4","67.9","+.004"
"326","Arkansas Pine Bluff","13-18","-16.99","91.2","108.2","67.0","+.089"
"327","Campbell","12-20","-17.39","97.9","115.3","63.7","+.058"
"328","New Hampshire","6-24","-17.62","88.1","105.7","63.2","-.086"
"329","Central Arkansas","8-21","-17.83","94.7","112.5","72.5","-.010"
"330","IUPUI","6-26","-18.19","95.6","113.8","66.0","-.037"
"331","Appalachian St.","9-21","-18.64","91.5","110.1","66.4","-.034"
"332","Howard","8-25","-18.89","87.2","106.0","67.6","-.027"
"333","Binghamton","7-23","-19.38","91.1","110.5","65.9","-.018"
"334","North Carolina A&T","9-23","-19.52","93.2","112.7","67.2","+.035"
"335","Stetson","7-24","-19.96","93.9","113.9","63.6","+.032"
"336","Maryland Eastern Shore","6-24","-20.26","98.5","118.8","66.7","-.036"
"337","Bethune Cookman","7-25","-20.29","96.0","116.3","62.6","-.062"
"338","Kennesaw St.","6-25","-20.30","91.4","111.7","67.9","+.003"
"339","Maine","6-23","-20.55","94.8","115.4","74.3","+.010"
"340","Cornell","2-26","-20.59","99.8","120.4","65.3","-.048"
"341","Houston Baptist","6-25","-20.63","91.0","111.6","69.3","-.039"
"342","Furman","9-21","-20.66","94.3","115.0","65.3","-.002"
"343","Lamar","4-26","-20.69","92.5","113.2","68.4","-.034"
"344","South Carolina St.","9-21","-21.15","90.9","112.0","66.6","+.042"
"345","The Citadel","7-26","-22.19","95.7","117.9","65.5","-.046"
"346","Longwood","8-24","-22.91","95.1","118.0","68.6","-.043"
"347","Mississippi Valley St.","9-23","-22.93","92.5","115.4","72.5","+.011"
"348","Abilene Christian","11-20","-23.32","93.4","116.7","65.5","-.045"
"349","Presbyterian","6-26","-25.86","93.6","119.5","65.7","-.018"
"350","Grambling St.","5-24","-26.60","94.9","121.5","67.9","-.017"
"351","Southern Utah","2-27","-27.09","87.0","114.1","65.9","-.049"
