"","team","W_L","AdjEM","AdjO","AdjD","AdjT","luck"
"1","Kentucky","38-1","+36.90","119.4","82.5","63.0","+.048"
"2","Wisconsin","36-4","+33.70","127.0","93.3","59.4","+.015"
"3","Duke","35-4","+32.46","122.5","90.0","66.1","+.068"
"4","Arizona","34-4","+32.40","117.9","85.5","66.0","-.032"
"5","Villanova","33-3","+30.65","120.6","89.9","64.9","+.031"
"6","Virginia","30-4","+30.08","113.6","83.5","58.9","+.023"
"7","Gonzaga","35-3","+27.76","119.7","92.0","65.4","+.019"
"8","Utah","26-9","+27.26","114.5","87.2","61.8","-.053"
"9","Notre Dame","32-6","+24.95","123.4","98.5","63.9","+.062"
"10","North Carolina","26-12","+23.85","117.1","93.2","69.2","-.026"
"11","Oklahoma","24-11","+22.76","110.4","87.7","67.0","-.044"
"12","Kansas","27-9","+22.70","112.5","89.8","67.2","+.071"
"13","Wichita St.","30-5","+22.16","113.7","91.6","62.8","+.022"
"14","Baylor","24-10","+22.11","114.5","92.4","62.3","-.035"
"15","Michigan St.","27-12","+21.70","114.5","92.8","63.2","-.017"
"16","Iowa St.","25-9","+21.45","116.9","95.5","69.9","+.006"
"17","Louisville","27-9","+21.22","108.2","86.9","65.1","+.027"
"18","Northern Iowa","31-4","+20.91","114.1","93.2","58.5","+.018"
"19","Ohio St.","24-11","+20.77","113.6","92.8","65.6","-.042"
"20","Butler","23-11","+20.09","108.1","88.0","63.9","-.022"
"21","Xavier","23-14","+19.48","114.6","95.1","65.4","-.062"
"22","Georgetown","22-11","+19.10","112.1","93.0","64.5","-.000"
"23","Iowa","22-12","+19.02","112.0","93.0","64.2","-.007"
"24","Texas","20-14","+18.90","110.3","91.4","62.6","-.079"
"25","West Virginia","25-10","+17.62","110.5","92.8","68.4","+.087"
"26","SMU","27-7","+17.50","111.0","93.5","63.4","-.004"
"27","Providence","22-12","+16.72","110.5","93.8","65.8","+.039"
"28","BYU","25-10","+16.67","117.2","100.5","70.6","-.055"
"29","Arkansas","27-9","+16.42","112.7","96.2","69.7","+.045"
"30","VCU","26-10","+16.27","109.0","92.8","66.6","+.044"
"31","San Diego St.","27-9","+15.93","102.8","86.9","61.1","+.026"
"32","North Carolina St.","22-14","+15.93","112.8","96.8","64.5","-.003"
"33","Maryland","28-7","+15.72","109.3","93.5","64.5","+.128"
"34","Florida","16-17","+15.38","105.2","89.8","63.2","-.117"
"35","Georgia","21-12","+15.09","107.4","92.3","64.7","+.001"
"36","Vanderbilt","21-14","+14.98","113.6","98.6","63.5","-.110"
"37","Davidson","24-8","+14.97","117.6","102.7","67.1","+.056"
"38","Oklahoma St.","18-14","+14.89","109.6","94.7","63.9","-.045"
"39","Stanford","24-13","+14.77","111.6","96.9","65.7","+.006"
"40","UCLA","22-14","+14.68","110.8","96.1","66.6","+.032"
"41","Miami FL","25-13","+14.51","110.5","96.0","62.9","+.022"
"42","Dayton","27-9","+14.23","107.2","93.0","64.3","+.022"
"43","Cincinnati","23-11","+14.14","106.0","91.9","60.0","-.015"
"44","Purdue","21-13","+13.96","108.8","94.9","64.9","-.006"
"45","Oregon","26-10","+13.91","113.1","99.2","67.1","+.119"
"46","Mississippi","21-13","+13.88","112.5","98.6","66.9","-.032"
"47","Boise St.","25-9","+13.82","109.7","95.9","63.1","+.009"
"48","Indiana","20-14","+13.81","117.7","103.9","66.8","-.043"
"49","LSU","22-11","+13.77","106.7","93.0","69.4","-.043"
"50","St. John's","21-12","+13.68","108.6","94.9","67.4","+.050"
"51","Stephen F. Austin","29-5","+13.66","111.7","98.1","66.2","+.021"
"52","Minnesota","18-15","+13.07","110.6","97.5","67.6","-.099"
"53","Syracuse","18-13","+12.77","104.8","92.1","66.1","-.024"
"54","Texas A&M","21-12","+12.31","107.4","95.1","64.2","-.010"
"55","Alabama","19-15","+12.28","109.5","97.2","62.8","-.031"
"56","TCU","18-15","+12.24","106.8","94.5","64.3","-.080"
"57","Murray St.","29-6","+12.03","114.4","102.4","67.2","+.076"
"58","Buffalo","23-10","+11.84","109.2","97.3","68.7","+.001"
"59","Richmond","21-14","+11.71","106.4","94.7","62.4","-.077"
"60","Illinois","19-14","+11.71","106.3","94.5","64.7","-.026"
"61","Rhode Island","23-10","+11.69","101.9","90.2","66.6","-.005"
"62","Illinois St.","22-13","+11.63","105.6","94.0","64.9","-.050"
"63","South Carolina","17-16","+11.36","103.5","92.2","64.7","-.048"
"64","Arizona St.","18-16","+11.18","107.7","96.6","66.2","-.034"
"65","Valparaiso","28-6","+11.14","105.3","94.2","62.8","+.053"
"66","Temple","26-11","+11.09","103.3","92.2","65.7","+.065"
"67","Saint Mary's","21-10","+10.35","108.8","98.5","62.8","+.027"
